Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Pernambuco;Mata Atlântica;75;60;45;29;14
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio de Janeiro;Mata Atlântica;153;159;164;169;174
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio Grande do Norte;Mata Atlântica;8;8;8;7;7
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio Grande do Sul;Mata Atlântica;8;9;9;9;9
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Santa Catarina;Mata Atlântica;46;47;48;50;53
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;São Paulo;Mata Atlântica;351;369;387;405;423
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Sergipe;Mata Atlântica;142;144;146;148;149
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio Grande do Sul;Pampa;67;67;67;68;68
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso;Pantanal;11;11;11;11;12
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Pantanal;29;29;30;30;31
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Acre;Amazônia;1088;1210;1091;1341;1392
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Amapá;Amazônia;77078;78845;80701;80744;84278
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Amazonas;Amazônia;23566;22454;28363;29354;33103
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Maranhão;Amazônia;19656;20747;21123;21850;21471
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Mato Grosso;Amazônia;1913;3850;1619;1918;2125
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Pará;Amazônia;141271;156336;160173;166559;176631
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Rondônia;Amazônia;1572;1595;1601;1634;1866
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Roraima;Amazônia;142;175;172;180;551
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Tocantins;Amazônia;372;384;414;443;499
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Alagoas;Caatinga;15;15;14;23;32
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Bahia;Caatinga;361;302;288;343;288
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Ceará;Caatinga;427;441;478;474;454
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Minas Gerais;Caatinga;98;365;286;155;129
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Paraíba;Caatinga;188;194;144;140;143
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Pernambuco;Caatinga;335;316;233;287;301
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Piauí;Caatinga;9;8;4;4;3
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Rio Grande do Norte;Caatinga;484;460;586;599;464
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Sergipe;Caatinga;61;53;56;30;30
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Bahia;Cerrado;77;60;48;59;55
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Distrito Federal;Cerrado;223;232;258;209;159
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Goiás;Cerrado;5647;5080;5321;5201;5256
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Maranhão;Cerrado;3377;3538;3644;3265;3659
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Mato Grosso;Cerrado;2068;2047;2054;1993;2057
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Cerrado;2158;2366;2301;2251;2244
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Minas Gerais;Cerrado;10020;10169;10833;11622;11700
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Pará;Cerrado;71;85;95;89;81
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Paraná;Cerrado;147;126;93;115;127
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Piauí;Cerrado;148;143;137;137;134
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Rondônia;Cerrado;2;0;1;0;0
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;São Paulo;Cerrado;2692;2693;2784;2783;2339
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Tocantins;Cerrado;945;939;957;1057;1104
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Alagoas;Mata Atlântica;289;338;275;404;409
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Bahia;Mata Atlântica;5078;4832;5481;5628;5699
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Espírito Santo;Mata Atlântica;1332;1138;1063;1115;932
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Goiás;Mata Atlântica;73;64;81;83;80
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Mata Atlântica;484;480;397;377;377
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Minas Gerais;Mata Atlântica;8570;9123;9813;10121;10252
Emissão;CO2e (t) GTP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Paraíba;Mata Atlântica;77;55;43;41;41
