Emissão/Remoção/Bunker;Gás;Setor de emissão;Categoria emissora;Sub-categoria emissora;Produto ou sistema;Detalhamento;Recorte;Atividade geral;Estado;Bioma;2019;2020;2021;2022;2023
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Goiás;Mata Atlântica;15,40;15,04;14,24;13,89;13,21
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Mata Atlântica;183,22;183,58;183,39;183,84;183,55
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Minas Gerais;Mata Atlântica;2303,81;2107,15;1906,92;1695,37;1491,68
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Paraíba;Mata Atlântica;262,01;237,34;213,34;190,28;165,67
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Paraná;Mata Atlântica;197,97;184,39;152,70;141,84;126,93
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Pernambuco;Mata Atlântica;433,40;347,36;256,69;169,24;77,63
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio de Janeiro;Mata Atlântica;881,01;910,98;939,60;972,54;998,46
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio Grande do Norte;Mata Atlântica;45,02;44,16;43,94;42,86;41,74
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio Grande do Sul;Mata Atlântica;48,72;49,00;49,10;49,10;49,45
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Santa Catarina;Mata Atlântica;263,52;271,89;277,83;286,20;305,64
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;São Paulo;Mata Atlântica;2017,84;2118,96;2222,79;2329,15;2427,67
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Sergipe;Mata Atlântica;815,73;827,80;838,55;850,80;858,14
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Rio Grande do Sul;Pampa;383,28;385,70;387,76;389,38;391,73
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso;Pantanal;61,07;63,02;65,19;65,90;68,88
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Asinino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Pantanal;166,40;168,48;170,65;172,81;175,87
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Acre;Amazônia;6250,36;6949,80;6265,21;7704,18;7995,24
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Amapá;Amazônia;442789,87;452939,85;463600,66;463847,17;484148,61
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Amazonas;Amazônia;135378,54;128993,04;162934,20;168632,14;190166,13
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Maranhão;Amazônia;112919,77;119185,89;121346,60;125520,45;123342,05
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Mato Grosso;Amazônia;10991,48;22116,06;9298,08;11017,88;12207,25
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Pará;Amazônia;811556,24;898098,32;920142,62;956826,95;1014686,14
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Rondônia;Amazônia;9029,02;9159,94;9199,54;9384,03;10720,86
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Roraima;Amazônia;815,26;1003,86;989,01;1036,53;3164,53
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Tocantins;Amazônia;2138,99;2207,78;2380,63;2544,18;2865,14
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Alagoas;Caatinga;87,34;87,07;79,22;129,86;181,34
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Bahia;Caatinga;2073,01;1734,54;1654,62;1969,99;1653,21
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Ceará;Caatinga;2450,25;2531,92;2744,28;2720,52;2610,63
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Minas Gerais;Caatinga;564,26;2096,46;1645,48;887,92;740,96
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Paraíba;Caatinga;1079,45;1111,92;825,80;803,15;824,32
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Pernambuco;Caatinga;1926,28;1813,37;1335,84;1649,08;1731,61
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Piauí;Caatinga;50,57;45,29;23,54;21,54;19,29
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Rio Grande do Norte;Caatinga;2783,20;2644,28;3363,72;3439,64;2664,19
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Sergipe;Caatinga;351,36;304,77;319,91;172,80;169,96
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Bahia;Cerrado;439,80;343,03;274,63;337,54;317,35
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Distrito Federal;Cerrado;1281,56;1330,56;1480,54;1198,40;916,25
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Goiás;Cerrado;32439,35;29185,82;30568,50;29876,11;30192,21
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Maranhão;Cerrado;19401,15;20322,43;20932,74;18757,69;21017,77
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Mato Grosso;Cerrado;11881,94;11758,35;11800,69;11451,43;11814,72
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Mato Grosso do Sul;Cerrado;12398,20;13592,81;13217,59;12933,50;12888,34
Emissão;CO2e (t) GWP-AR6;Agropecuária;Fermentação entérica;Processo de digestão de animais ruminantes;Bubalino;Animal;Diretas;Pecuária;Minas Gerais;Cerrado;57559,55;58419,51;62230,53;66766,41;67211,37
