NOME;NOME FANTASIA;CNPJ;ESTADO;ANO;Relatório;ESCOPO;Categoria;Emissões (tCO2e);Emissões de CO2 biogênico (t);Remoções de CO2 biogênico (t);Gás
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Controle Operacional;Escopo 1;Combustão móvel;9799,20;1061,77;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Controle Operacional;Escopo 1;Combustão estacionária;2043845,44;128,86;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Controle Operacional;Escopo 1;Processos industriais;252893,74;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Controle Operacional;Escopo 1;Resíduos sólidos e efluentes líquidos;7,55;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Controle Operacional;Escopo 1;Fugitivas;1596,56;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Controle Operacional;Escopo 1;Mudanças no uso do solo;48489,46;0,00;1048,41;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;65876,38;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Controle Operacional;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;54601,97;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Participação Societária;Escopo 1;Combustão móvel;9799,20;1061,77;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Participação Societária;Escopo 1;Combustão estacionária;2043845,44;128,86;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Participação Societária;Escopo 1;Processos industriais;252893,74;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Participação Societária;Escopo 1;Resíduos sólidos e efluentes líquidos;7,55;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Participação Societária;Escopo 1;Fugitivas;1596,56;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Participação Societária;Escopo 1;Mudanças no uso do solo;48489,46;0,00;1048,41;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na localização;65876,38;0,00;0,00;
Consórcio de Alumínio do Maranhão;Consórcio Alumar;00.655.209/0001-93;MA;2022;Participação Societária;Escopo 2;Aquisição de energia elétrica - Abordagem baseada na escolha de compra;54601,97;0,00;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2022;Controle Operacional;Escopo 1;Combustão móvel;616,58;63,11;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2022;Controle Operacional;Escopo 1;Atividades agrícolas;58,55;0,00;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2022;Controle Operacional;Escopo 1;Mudanças no uso do solo;0,00;477,38;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2022;Participação Societária;Escopo 1;Combustão móvel;616,58;63,11;0,00;
Companhia Geral de Minas;CGM;60.580.396/0001-15;MG;2022;Participação Societária;Escopo 1;Atividades agrícolas;58,55;0,00;0,00;
